id;murre;lat;lon;klaster
632;saarte;58.94;22.05;2
633;saarte;58.94;22.08;2
634;saarte;58.94;22.14;2
635;saarte;58.93;22.23;2
636;saarte;58.94;22.27;2
637;saarte;58.95;22.32;2
638;saarte;58.93;22.39;2
639;saarte;58.96;22.41;2
640;saarte;58.96;22.46;2
641;saarte;58.99;22.43;2
642;saarte;58.99;22.46;2
643;saarte;58.98;22.49;2
644;saarte;59;22.49;2
645;saarte;59;22.48;2
646;saarte;59.02;22.48;2
647;saarte;59.03;22.52;2
648;saarte;59.09;22.57;2
649;saarte;59.08;22.58;2
650;saarte;59.08;22.61;2
651;saarte;59.07;22.69;2
652;saarte;59.01;22.69;2
653;saarte;59;22.7;2
654;saarte;NA;NA;2
655;saarte;58.24;22.46;2
656;saarte;58.21;22.42;2
657;saarte;58.21;22.32;2
658;saarte;58.18;22.25;2
659;saarte;58.13;22.26;2
660;saarte;58.09;22.25;2
661;saarte;58.07;22.22;2
662;saarte;58.05;22.22;2
663;saarte;58.01;22.18;2
664;saarte;57.98;22.19;2
665;saarte;57.92;22.06;2
666;saarte;57.91;22.02;2
667;saarte;57.95;21.98;2
668;saarte;57.98;21.99;2
669;saarte;57.98;22.02;2
670;saarte;58.03;22.05;2
671;saarte;58.09;22.1;2
672;saarte;58.06;22.16;2
673;saarte;58.11;22.18;2
674;saarte;58.14;22.22;2
675;saarte;58.15;22.19;2
676;saarte;58.18;22.07;2
677;saarte;58.25;21.98;2
678;saarte;58.22;22;2
679;saarte;58.31;21.82;2
680;saarte;58.3;21.89;2
681;saarte;58.35;21.99;2
682;saarte;58.46;21.89;2
683;saarte;58.51;21.91;2
684;saarte;58.5;22;2
685;saarte;58.41;22.08;2
686;saarte;58.42;22.11;2
687;saarte;58.5;22.13;2
688;saarte;58.51;22.2;2
689;saarte;58.55;22.2;2
690;saarte;58.53;22.23;2
691;saarte;58.48;22.25;2
692;saarte;58.49;22.3;2
693;saarte;58.57;22.29;2
694;saarte;58.58;22.48;2
695;saarte;58.64;22.54;2
696;saarte;58.58;22.62;2
697;saarte;58.6;22.69;2
698;saarte;58.58;22.74;2
699;saarte;58.63;22.79;2
700;saarte;58.61;22.94;2
